Имя	Класс	Вид	Подвиды	Тип	Местонахождение	Тактика	Иммунитет	Уязвимость
Ignis Fatuus	Трупоеды	Туманник	Неизвестно	Одиночка	Пещера в  Кривоуховых топях	Использует туман и иллюзии	Неизвестно	Знак Квен    Лунная пыль    Масло против трупоедов
Абайя	Трупоеды	Водная баба	Неизвестно	Одиночка/Вожак	Кьераг ,  Ард Скеллиг	Неизвестно	Неизвестно	Знак Квен  Масло против трупоедов  Северный ветер
Альгуль	Трупоеды	Гуль	Неизвестно	Стайные	Кладбища, склепы, места сражений	Атакуют группами по несколько особей	Неизвестно	Масло против трупоедов  Знак Аксий
Альп	Вампир	Неизвестно	Неизвестно	Одиночные	Окрестности  Туссента	Пытаются запрыгнуть и выпить кровь	К оглушению	Масло против вампиров  Черная кровь
Арахноморф	Инсектоиды	Неизвестно	Неизвестно	Стайные	Густые леса, пещеры, болота	Обездвиживают и атакуют с разных сторон	Неизвестно	Масло против инсектоидов  Знак Игни  Знак Аксий  Северный ветер
Архиспора[2]	Проклятые	Неизвестно	Коричневая, Зелёная,  Пурпурная, Жёлтая	Одиночки/Группы	Туссент	Неизвестно	Неизвестно	Знак Игни  Знак Аард  Масло против проклятых  Иволга
Архигрифон	Гибриды	Грифон	Неизвестно	Одиночки	Снидхалль  Велен  Золотые поля	Быстрое пикирование с высоты и нанесение когтями кровоточащих ран, плевки ядовитой кислотой сверху	К оглушению, к огню	Масло против гибридов  Арбалет  Знак Аард
Баргест	Духи и Призраки	Неизвестно	Неизвестно	Стайные	Туссент	Неизвестно	Знак Игни	Лунная пыль  (бомба)  Знак Аксий  Знак Ирден  Масло против призраков
Бенн'ши	Духи и Призраки	Неизвестно	Неизвестно	Одиночки	Туссент	Неизвестно	Неизвестно	Масло против призраков  Знак Ирден
Белая Дама	Духи и призраки	Полуденница	Неизвестно	Одиночка	Поле вблизи  Новиграда	Ослепление, создание копий	К оглушению и огню	Знак Ирден  Лунная пыль  Масло против призраков .
Берсерк	Проклятые	Неизвестно	Неизвестно	Стайные	Архипелаг  Скеллиге	Мощные силовые атаки, оглушение противника	Неизвестно	Знак Игни  Знак Квен  Чертов гриб  Масло против проклятых
Бес	Реликты	Неизвестно	Неизвестно	Одиночки	Чащи лесов, болота, пещеры	Сбивает с ног, рвёт когтями и зубами	Неизвестно	Знак Игни  Масло против реликтов  Знак Квен  Самум  Северный ветер
Бледная вдова	Инсектоиды	Сколопендроморф	Неизвестно	Стайные	Пещеры и подземелья в  Туссенте	Плюется ядом, перемещается под землей	К оглушению	Масло против инсектоидов  Знак Ирден  Северный ветер
Большой злой волк	Бестии	Волколак	Неизвестно	Одиночки	Страна Тысячи Сказок	Неизвестно	Неизвестно	Масло против зверей  Знак Игни  Картечь
Боровой	Реликты	Леший	Неизвестно	Одиночки	Леса вокруг  Боклера	Физические атаки	Неизвестно	Знак Игни  Двимеритовая бомба  Масло против реликтов
Брукса	Вампир	Неизвестно	Неизвестно	Одиночки/Пары	Туссент	Невидимость, звуковая волна, мощные атаки, восстанавливает здоровье, выпивая кровь противника	К оглушению	Масло против вампиров  Лунная пыль  Черная кровь
Брукса из Корво Бьянко	Вампир	Брукса	Неизвестно	Неизвестно	Корво Бьянко  Туссент	Невидимость, пытается запрыгнуть на плечи и вцепиться в шею	Неизвестно	Масло против вампиров  Лунная пыль  Знак Ирден  Чёрная кровь
Варг	Бестии	Волк	Неизвестно	Стайные/Вожак	Дикая природа, окрестности людских поселений	Нападают группами по несколько особей	Неизвестно	Картечь  Знак Игни  Масло против зверей
Василиск	Дракониды	Неизвестно	Серебристый василиск	Одиночки	Неизвестно	Бросок с неба, отравляют сильным ядом	Неизвестно	Масло против драконидов  Знак Аард  Картечь  Иволга
Великан	Огры	Неизвестно	Ледяной великан	Одиночки	Ундвик  Туссент	Неизвестно	Неизвестно	Неизвестно
Виверна	Дракониды	Неизвестно	Королевская виверна	Стайные	Горная местность	Быстрые атаки с воздуха	К огню	Иволга  Масло против драконидов  Знак Аард  Картечь  (бомба)
Вилохвост	Дракониды	Неизвестно	Неизвестно	Одиночные	Велен ,  Скеллиге ,  Туссент	Мощные удары хвостом	Неизвестно	Масло против драконидов  Знак Квен  Иволга  Картечь
